CodEstable,NomEstable,CodSede,NomSede,Tipo,Zona,Direccion,Telefono,EstadoSede,Niveles,Modelos,Grados,X,Y
154001007723,COLEGIO NUESTRA SEÑORA DE BELEN,154001002527,CENT DOC NSTRA SRA DE BELEN NO 21,SEDE,URBANA,CLL 25 NO 27-10 BARRIO BELEN,5822108,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5",840080.0787,1362890.89
154001007723,COLEGIO NUESTRA SEÑORA DE BELEN,154001002365,ESC NSTRA SRA DE BELEN NO 23,SEDE,URBANA,CLL 25 NO 27-40 BARRIO BELEN,5824287,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","A CRECER,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE","0,1,2,3,4,5,21,99",840040.2568,1362924.687
154001007723,COLEGIO NUESTRA SEÑORA DE BELEN,154001007723,COLEGIO NUESTRA SEÑORA DE BELEN,PRINCIPAL,URBANA,CL 26 27 60 BR BELEN,5738727,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","CAMINAR EN SECUNDARIA,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,FLEXIBLE ESCUELA INTEGRAL,COMPRENDER Y PROSPERAR,A CRECER,EDUCACIÓN TRADICIONAL","6,7,8,9,10,11,21,22,23,24,25,26",840003.1847,1362837.659
154001002276,COLEGIO GONZALO RIVERA LAGUADO,154001002225,ESC URB  NO 4 ESPIRITU SANTO,SEDE,URBANA,AV 14 NO 15-15 BARRIO EL CONTENTO,5820378,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","4,5,22,23,24,25,26",841798.6493,1363437.679
154001002276,COLEGIO GONZALO RIVERA LAGUADO,154001002276,COL GONZALO RIVERA LAGUADO,PRINCIPAL,URBANA,AV 14 NO 15-93 BARRIO EL CONTENTO,5712417- 5710654-5715781,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA",EDUCACIÓN TRADICIONAL,"6,7,8,9,10,11",841816.333,1363354.935
254001002637,CENTRO EDUCATIVO ESCUELA RURAL CARMEN DE TONCHALA,254001002637,ESC RUR  EL CARMEN DE TONCHALA,PRINCIPAL,RURAL,INSP EL RODEO,5666581-5666580,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","POST PRIMARIA,FLEXIBLE ESCUELA INTEGRAL,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,6,7,8,9,22,23,24,25,26",835467.4109,1359767.702
154001004341,COLEGIO CLAUDIA MARIA PRADA,154001004341,COL CLAUDIA MARIA PRADA AYALA,PRINCIPAL,URBANA,CLL 2 NO 7-44,5813939,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","FLEXIBLE ESCUELA INTEGRAL,A CRECER,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE","0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26,99",839933.1848,1365284.172
154001004341,COLEGIO CLAUDIA MARIA PRADA,154001009211,COL HERMANO RODULFO ELOY,SEDE,URBANA,CL 9 15 64 BR BELISARIO,3212151604,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","CAMINAR EN SECUNDARIA,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,CAMINAR EN SECUNDARIA II,A CRECER,CAMINAR EN SECUNDARIA I,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE,ACELERACIÓN DEL APRENDIZAJE","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99",839017.2753,1365216.649
154001004341,COLEGIO CLAUDIA MARIA PRADA,154001007341,ESC SAN VICENTE DE PAUL NO 80,SEDE,URBANA,CL 14 12 70 BR BELISARIO,5788253,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","A CRECER,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE","0,1,2,3,4,5,22",839149.0325,1365705.124
154001006379,I.E. CRISTO OBRERO,154001006379,I.E. CRISTO OBRERO - SEDE PRINCIPAL,PRINCIPAL,URBANA,CL 35 9 03,5799241,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","FLEXIBLE ESCUELA INTEGRAL,A CRECER,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE,SER HUMANO","0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26",840824.7639,1369447.008
154001009009,COL LOS SANTOS APOSTOLES,154001003256,ESC URB  KENNEDY NO 47,SEDE,URBANA,AV  7  NO 6-18 BARRIO CHAPINERO,5810231,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5",841553.6852,1367241.115
154001009009,COL LOS SANTOS APOSTOLES,154001002322,ESC URB  NO 31 JOSE CELESTINO MUTIS,SEDE,URBANA,CLL  1  AV  1 Y 2  BARRIO CHAPINERO,5788501,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE","0,1,2,3,4,5,99",841749.705,1366436.184
154001009009,COL LOS SANTOS APOSTOLES,154001003230,ESC  DE NIÑAS NO 19,SEDE,URBANA,CLL 1 AV 1  NO KM 265 -1 BARRIO CHAPINERO,5787919,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,22,23,24,25,26",841777.2746,1366491.484
154001009009,COL LOS SANTOS APOSTOLES,154001009009,COL LOS SANTOS APOSTOLES,PRINCIPAL,URBANA,AV 6 NO 6-54B BARRIO CHAPINERO,5814176,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","FLEXIBLE ESCUELA INTEGRAL,A CRECER,EDUCACIÓN TRADICIONAL","6,7,8,9,10,11,21,22,23,24,25,26",841513.861,1367096.721
154001009009,COL LOS SANTOS APOSTOLES,154001006808,ESC URB  EL ROSAL,SEDE,URBANA,CLL  3 NO 10-21 BARRIO EL ROSAL,5811245,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,22,23,24,25,26",841980.1777,1367174.591
154001006409,COLEGIO BUENOS AIRES,154001006409,COL BUENOS AIRES,PRINCIPAL,URBANA,CL 30 AV 7 BARRIO BUENOS AIRES,5798214,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","FLEXIBLE ESCUELA INTEGRAL,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",840892.1348,1369115.203
154001000931,COLEGIO MUNICIPAL MARÍA CONCEPCIÓN LOPERENA.,154001009343,ESC MARIA OFELIA VILLAMIZAR BUITRAGO,SEDE,URBANA,AV 16KN NO 13A-11 BARRIO ESPERANZA MARTINEZ,NO TIENE,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","A CRECER,EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,21,22,23,24,25,26",841972.309,1367531.369
